MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,TEMPPER,TARGET
29,8000,32000,32,8,32,3.0,172
240,512,2000,8,1,5,4.0,11
50,2000,16000,8,3,5,30.0,40
160,512,2000,2,3,8,3.0,32
98,1000,8000,32,2,8,2.0,46
143,1500,6300,0,5,32,,30
800,768,2000,0,0,0,1.0,20
105,2000,4000,8,3,19,,32
100,1000,8000,24,2,6,31.0,26
900,1000,1000,0,1,2,,11
330,1000,4000,0,3,6,,22
167,524,2000,8,4,15,26.0,19
160,1000,4000,8,1,14,,38
203,1000,2000,0,1,5,,24
180,768,12000,6,1,31,,84
50,2000,16000,12,3,16,,45
90,256,1000,0,3,10,,17
180,512,4000,0,1,3,,14
56,1000,4000,0,1,6,,17
330,1000,3000,0,2,4,,16
50,2000,32000,112,52,104,,307
125,256,6000,256,16,128,,198
50,2000,32000,24,6,26,,114
105,256,2000,0,3,10,2.0,26
100,1000,8000,24,3,6,,32
17,4000,16000,8,6,12,,100
140,2000,4000,8,1,20,,35
180,2000,8000,8,1,6,27.0,50
48,4000,24000,32,8,24,,214
50,4000,32000,112,52,104,,397
900,1000,4000,8,1,2,0.0,22
50,1000,8000,8,3,5,,36
50,2000,8000,8,1,6,,56
75,3000,8000,8,3,48,,64
180,512,4000,0,1,3,,21
23,16000,32000,64,16,32,9.0,367
320,512,8000,4,1,5,,40
70,4000,12000,8,6,8,,75
50,2620,10480,30,12,24,,32
26,8000,32000,64,12,16,,248
250,512,4000,0,4,7,,50
25,1310,2620,131,12,24,,274
105,2000,6000,16,6,16,,33
23,32000,64000,128,32,64,26.0,1144
115,2000,4000,2,1,5,,40
56,2000,6000,0,1,8,,21
30,8000,64000,96,12,176,,915
125,512,1000,0,8,20,,36
900,2000,4000,0,3,6,,37
110,1000,12000,16,1,2,,60
140,2000,4000,0,4,8,,40
200,1000,4000,0,1,4,,30
59,4000,12000,32,6,12,16.0,113
50,4000,16000,64,5,10,,111
320,256,3000,4,1,3,,27
115,2000,8000,16,1,3,,50
50,2000,32000,48,26,52,,208
400,1000,3000,0,1,2,21.0,38
26,8000,24000,32,8,16,,173
300,768,12000,6,6,24,,50
26,8000,32000,0,8,24,,277
84,1000,2000,0,1,6,,12
23,16000,32000,64,16,32,,489
105,2000,4000,8,3,8,,22
38,4000,8000,32,16,32,,51
40,8000,16000,32,8,16,,214
50,1000,4000,8,3,5,,26
56,4000,16000,0,1,8,,46
57,4000,16000,1,6,12,,132
320,128,6000,0,1,12,,23
26,8000,32000,64,8,32,,318
59,8000,16000,64,12,24,,188
50,8000,16000,48,1,10,,136
250,512,4000,0,1,7,,25
56,4000,12000,0,1,8,,42
300,192,768,6,6,24,,36
50,4000,16000,65,1,8,,138
115,512,6000,16,1,6,,45
30,16000,32000,256,16,24,,510
180,262,4000,0,1,3,,12
200,1000,8000,0,1,2,,36
50,2000,16000,8,3,6,,60
116,2000,8000,32,5,28,,70
125,2000,8000,0,2,14,,52
140,1000,16000,16,1,3,,138
105,1000,4000,0,3,24,,32
50,2000,16000,8,3,6,,52
92,2000,8000,32,1,6,,62
220,1000,8000,16,1,2,,71
72,4000,16000,64,8,16,,143
200,512,8000,8,1,8,,62
17,4000,16000,32,6,12,,133
140,2000,4000,0,3,6,,29
26,8000,32000,128,24,32,,405
100,1000,8000,0,2,6,,16
60,4000,16000,32,1,6,,86
140,2000,8000,32,1,54,3.0,66
300,768,3000,6,6,24,,44
38,8000,24000,160,4,8,32.0,140
143,2300,6200,0,6,64,,61
64,5240,20970,30,12,24,,208
140,2000,32000,32,1,20,,134
250,1000,16000,1,1,8,,50
75,4000,16000,16,1,6,,66
26,16000,32000,64,8,24,,465
29,8000,16000,32,8,16,,132
133,1000,8000,9,3,12,,72
50,2000,8000,8,3,6,,45
900,512,1000,0,1,2,,11
350,64,64,0,1,4,,10
75,2000,16000,64,1,38,9.0,144
50,2000,4000,0,3,6,,27
240,512,1000,8,1,3,,6
26,8000,16000,0,8,16,,185
400,512,3500,4,1,6,,40
1500,768,1000,0,0,0,,12
29,8000,32000,32,8,32,,269
112,1000,1000,0,1,4,,8
800,256,8000,0,1,4,,20
300,1000,16000,8,2,112,,38
180,262,4000,0,1,3,,18
800,256,8000,0,1,4,,16
700,384,8000,0,1,1,,24
300,768,4500,0,1,24,,45
92,2000,8000,32,1,6,,60
40,8000,32000,64,8,24,,277
50,2000,16000,24,6,16,,65
300,384,12000,6,1,24,,53
50,500,2000,8,1,4,,20
124,1000,8000,0,1,8,,42
29,8000,32000,32,8,32,,220
320,512,2000,4,1,3,,69
200,2000,8000,64,1,5,,41
140,2000,4000,8,1,20,,22
60,2000,8000,65,1,8,,92
1100,512,1500,0,1,1,,7
38,4000,16000,128,16,32,,212
60,2000,16000,64,5,8,,74
140,2000,32000,32,1,54,,141
800,256,8000,0,1,4,,12
700,256,2000,0,1,1,,24
225,2000,4000,8,3,6,,34
320,256,5000,4,1,6,,27
110,1000,4000,16,1,2,,26
50,1000,4000,8,1,5,,29
600,768,2000,0,1,1,,16
75,2000,16000,128,1,38,,259
30,8000,64000,128,12,176,,1150
50,2000,16000,24,1,6,,70
60,4000,16000,64,5,8,,93
800,256,8000,0,1,4,,22
400,4000,8000,0,1,1,,32
143,1000,2000,0,5,16,,31
23,16000,64000,64,16,32,,636
200,1000,2000,0,1,2,,25
480,512,8000,32,0,0,,67
50,2000,16000,24,6,16,,54
56,2000,8000,0,1,8,,24
50,2000,8000,8,1,5,,71
25,2000,12000,8,1,4,,49
160,512,4000,2,1,5,,30
480,1000,4000,0,0,0,,45
57,4000,24000,64,12,16,,237
150,512,4000,0,8,128,,30
72,2000,8000,16,6,8,,105
143,512,5000,0,7,32,,28
480,96,512,0,1,1,,6
810,512,512,8,1,1,,18
56,5240,20970,30,12,24,,106
330,1000,2000,0,1,2,,16
56,4000,8000,0,1,8,,34
225,2000,4000,8,3,6,,40
105,2000,8000,16,4,14,,58
25,1310,2620,131,12,24,6.0,368
1500,768,2000,0,0,0,,18
200,512,16000,0,4,32,,35
140,2000,32000,32,1,54,,189
320,256,6000,0,1,6,,33
50,2000,16000,24,1,6,,80
400,2000,4000,0,1,1,34.0,32
110,3100,6200,0,6,64,,76
