MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,TEMPPER,TARGET
50,2000,32000,24,6,26,-1.0,114
56,1000,4000,0,1,6,18.0,17
29,8000,32000,32,8,32,23.0,220
23,32000,64000,128,32,64,-1.0,1144
50,2000,8000,8,3,6,0.0,45
26,8000,32000,64,12,16,,248
56,2000,8000,0,1,8,,24
400,4000,8000,0,1,1,,32
105,2000,6000,16,6,16,,33
29,8000,32000,32,8,32,,269
70,4000,12000,8,6,8,,75
92,2000,8000,32,1,6,,60
56,4000,12000,0,1,8,,42
180,2000,8000,8,1,6,,50
133,1000,12000,9,3,12,,72
92,2000,8000,4,1,6,,50
320,256,6000,0,1,6,,33
50,1000,8000,8,3,5,,36
300,768,3000,0,6,24,,36
100,1000,8000,24,3,6,,32
50,2000,16000,24,1,6,,70
50,4000,16000,65,1,8,,138
105,2000,4000,8,3,8,,22
75,2000,8000,64,1,38,,144
200,1000,2000,0,1,2,,25
60,4000,16000,64,5,8,,93
110,5000,5000,142,8,64,,120
50,8000,16000,48,1,10,,136
26,8000,32000,128,24,32,,405
140,1000,16000,16,1,3,,138
75,3000,8000,8,3,48,,64
50,2620,10480,30,12,24,,32
38,8000,16000,64,4,8,9.0,100
100,1000,8000,0,2,6,,16
900,1000,4000,8,1,2,,22
59,8000,16000,64,12,24,,188
29,8000,32000,32,8,32,,172
84,1000,2000,0,1,6,,12
50,2000,16000,24,6,16,12.0,65
23,16000,64000,64,16,32,,636
105,2000,8000,16,4,14,,58
300,1000,16000,8,2,112,,38
50,2000,4000,0,3,6,,27
60,4000,16000,32,1,6,,86
90,256,1000,0,3,10,25.0,17
60,2000,16000,64,5,8,,74
105,2000,4000,8,3,19,,32
140,2000,32000,32,1,54,,141
225,2000,4000,8,3,6,22.0,34
50,1000,4000,8,3,5,,26
75,2000,16000,128,1,38,,259
40,8000,32000,64,8,24,,277
200,1000,8000,0,1,2,,36
140,2000,4000,8,1,20,,22
800,256,8000,0,1,4,,12
26,16000,32000,64,16,24,,465
50,2000,16000,24,6,16,,54
810,512,512,8,1,1,,18
50,4000,16000,64,5,10,,111
60,2000,8000,65,1,8,,92
180,512,4000,0,1,3,,14
38,4000,8000,32,16,32,,51
100,1000,8000,24,2,6,,26
50,2620,10480,30,12,24,,63
52,4000,16000,32,4,12,,130
