MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,TEMPPER,TARGET
250,512,4000,0,4,7,27.0,50
800,256,8000,0,1,4,6.0,16
29,8000,16000,32,8,16,22.0,132
180,262,4000,0,1,3,-3.0,12
110,1000,12000,16,1,2,12.0,60
50,2000,8000,8,1,6,,56
92,2000,8000,32,1,6,,60
810,1000,5000,0,1,1,,20
150,512,4000,0,8,128,,30
60,2000,16000,64,5,8,,74
56,4000,12000,0,1,8,,42
700,384,8000,0,1,1,,24
26,8000,32000,64,12,16,,248
300,768,3000,6,6,24,,44
50,2000,16000,8,3,6,,60
35,8000,32000,64,8,24,,370
50,1000,8000,8,3,5,,36
29,8000,32000,32,8,32,16.0,172
124,1000,8000,0,1,8,,42
75,4000,16000,16,1,6,,66
56,5240,20970,30,12,24,,106
56,2000,8000,0,1,8,,24
300,1000,4000,8,3,64,,38
105,2000,4000,8,3,19,,32
140,2000,4000,0,4,8,,40
300,768,4500,0,1,24,,45
900,1000,1000,0,1,2,22.0,11
50,2000,16000,24,1,6,,70
200,512,16000,0,4,32,,35
900,1000,4000,4,1,2,,18
180,2000,8000,8,1,6,,50
300,384,12000,6,1,24,,53
220,1000,8000,16,1,2,,71
50,2000,16000,24,6,16,,65
480,96,512,0,1,1,,6
320,512,8000,4,1,5,,40
56,2000,6000,0,1,8,,21
26,16000,32000,64,16,24,16.0,465
29,8000,32000,32,8,32,,220
59,8000,16000,64,12,24,,188
180,512,4000,0,1,3,,14
50,2000,32000,112,52,104,-1.0,307
143,1000,2000,0,5,16,,31
115,2000,8000,16,1,3,,50
105,1000,4000,0,3,24,,32
105,256,2000,0,3,10,,26
50,2000,16000,24,1,6,,80
60,4000,16000,32,1,6,,86
50,2000,16000,12,3,16,,45
29,8000,32000,32,8,32,,269
25,2000,12000,16,3,5,,66
59,4000,12000,32,6,12,-5.0,113
330,1000,3000,0,2,4,,16
50,8000,16000,48,1,10,,136
300,768,3000,0,6,24,,36
140,2000,4000,8,1,20,,35
800,256,8000,0,1,4,,14
64,5240,20970,30,12,24,,208
72,2000,8000,16,6,8,,105
160,1000,4000,8,1,14,,38
143,3100,6200,0,5,20,,33
110,3100,6200,0,6,64,,76
52,4000,16000,32,4,12,,130
50,2000,32000,24,6,26,,114
112,1000,1000,0,1,4,,8
26,8000,16000,0,8,16,,185
105,2000,8000,16,4,14,,58
50,2000,16000,8,3,5,,40
180,768,12000,6,1,31,,84
25,1310,2620,131,12,24,,368
90,256,1000,0,3,10,,17
40,8000,32000,64,8,24,,277
400,1000,3000,0,1,2,,38
92,2000,8000,32,1,6,,62
1100,768,2000,0,1,1,,13
30,8000,64000,128,12,176,,1150
250,512,4000,0,1,7,,25
175,256,2000,0,3,24,,22
140,2000,32000,32,1,54,,189
225,2000,4000,8,3,6,36.0,40
23,16000,32000,64,16,32,,367
50,4000,16000,64,5,10,,111
480,512,8000,32,0,0,,67
60,2000,8000,65,1,8,,92
160,512,2000,2,3,8,,32
75,2000,8000,8,3,24,,62
320,256,6000,0,1,6,,33
25,2000,12000,8,1,4,,49
400,512,3500,4,1,6,,40
48,4000,24000,32,8,24,,214
900,2000,4000,0,3,6,,37
140,2000,4000,8,1,20,,22
26,8000,32000,0,8,24,,277
75,3000,8000,8,3,48,,64
26,8000,32000,128,24,32,,405
480,1000,4000,0,0,0,,45
30,16000,32000,256,16,24,,510
1500,768,1000,0,0,0,,12
50,2620,10480,30,12,24,,32
320,512,5000,4,1,5,,77
140,2000,32000,32,1,54,,141
26,16000,32000,64,8,24,,465
105,2000,4000,8,3,8,,22
160,512,4000,2,1,5,,30
1100,512,1500,0,1,1,4.0,7
160,1000,8000,16,1,14,,60
300,1000,16000,8,2,112,,38
30,8000,64000,96,12,176,,915
810,512,512,8,1,1,,18
40,8000,16000,32,8,16,,214
98,1000,8000,32,2,8,,46
800,256,8000,0,1,4,,12
50,2000,16000,24,6,16,,54
38,8000,24000,160,4,8,,140
143,2300,6200,0,6,64,,61
17,4000,16000,32,6,12,,133
57,4000,16000,1,6,12,,132
140,2000,8000,32,1,54,,66
57,4000,24000,64,12,16,,237
800,256,8000,0,1,4,,20
60,4000,16000,64,5,8,,93
200,1000,4000,0,1,4,,30
38,16000,32000,128,16,32,,510
185,2000,16000,16,1,6,,76
110,1000,4000,16,1,2,,26
143,1500,6300,0,5,32,,30
50,1000,4000,8,3,5,,26
17,4000,16000,8,6,12,,100
100,1000,8000,24,3,6,,32
225,2000,4000,8,3,6,,34
203,1000,2000,0,1,5,,24
250,1000,16000,1,1,8,24.0,50
167,524,2000,8,4,15,,19
75,2000,16000,64,1,38,,144
75,2000,8000,64,1,38,,144
38,8000,32000,64,8,24,,326
900,1000,4000,8,1,2,,22
1500,768,2000,0,0,0,,18
50,2620,10480,30,12,24,,63
400,2000,4000,0,1,1,,32
800,256,8000,0,1,4,,22
320,128,6000,0,1,12,,23
800,768,2000,0,0,0,0.0,20
50,2000,8000,8,1,5,,71
115,512,6000,16,1,6,,45
105,2000,6000,16,6,16,0.0,33
240,512,1000,8,1,3,,6
300,192,768,6,6,24,,36
116,2000,8000,32,5,28,,70
50,2000,8000,8,3,6,,45
200,1000,2000,0,1,2,,25
38,4000,8000,32,16,32,,51
200,512,8000,8,1,8,,62
100,1000,8000,0,2,6,,16
50,500,2000,8,1,4,,20
26,8000,32000,64,8,32,,318
56,4000,16000,0,1,8,,46
50,1000,4000,8,1,5,,29
350,64,64,0,1,4,,10
700,256,2000,0,1,1,,24
100,1000,8000,24,2,6,,26
160,2000,8000,32,1,13,,109
330,1000,2000,0,1,2,,16
23,16000,32000,64,16,32,,489
320,256,3000,4,1,3,,27
133,1000,12000,9,3,12,,72
400,4000,8000,0,1,1,,32
133,1000,8000,9,3,12,,72
110,5000,5000,142,8,64,,120
72,4000,16000,64,8,16,,143
320,256,5000,4,1,6,,27
140,1000,16000,16,1,3,,138
38,4000,8000,32,16,32,,116
50,4000,16000,65,1,8,,138
50,4000,32000,112,52,104,,397
125,2000,8000,0,2,14,,52
180,2000,16000,16,1,6,25.0,66
320,512,2000,4,1,3,,69
23,16000,64000,64,16,32,,636
300,768,12000,6,6,24,,50
50,2000,32000,48,26,52,3.0,208
140,2000,32000,32,1,20,,134
180,262,4000,0,1,3,,18
900,512,1000,0,1,2,,11
75,2000,16000,128,1,38,,259
23,32000,64000,128,32,64,,1144
56,1000,4000,0,1,6,,17
200,2000,8000,64,1,5,,41
38,8000,16000,64,4,8,,100
50,2000,4000,0,3,6,,27
240,512,2000,8,1,5,,11
25,1310,2620,131,12,24,,274
84,1000,2000,0,1,6,,12
70,4000,12000,8,6,8,,75
330,1000,4000,0,3,6,,22
140,2000,4000,0,3,6,,29
200,1000,8000,0,1,2,,36
225,1000,4000,2,3,6,,24
50,2000,16000,8,3,6,,52
92,2000,8000,4,1,6,,50
125,512,1000,0,8,20,10.0,36
600,768,2000,0,1,1,,16
180,512,4000,0,1,3,33.0,21
56,4000,8000,0,1,8,7.0,34
125,256,6000,256,16,128,,198
26,8000,24000,32,8,16,,173
143,512,5000,0,7,32,4.0,28
38,4000,16000,128,16,32,,212
115,2000,4000,2,1,5,,40
