MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,TEMPPER,TARGET
56,4000,8000,0,1,8,1.0,34
75,3000,8000,8,3,48,15.0,64
1500,768,1000,0,0,0,15.0,12
116,2000,8000,32,5,28,35.0,70
56,1000,4000,0,1,6,-3.0,17
30,16000,32000,256,16,24,,510
115,2000,4000,2,1,5,,40
50,2000,32000,48,26,52,,208
140,2000,32000,32,1,54,,141
38,4000,16000,128,16,32,,212
56,5240,20970,30,12,24,,106
400,2000,4000,0,1,1,,32
56,2000,8000,0,1,8,,24
25,1310,2620,131,12,24,,274
110,3100,6200,0,6,64,,76
300,1000,4000,8,3,64,,38
38,8000,16000,64,4,8,,100
220,1000,8000,16,1,2,,71
115,512,6000,16,1,6,,45
25,2000,12000,8,1,4,,49
50,2000,16000,12,3,16,-3.0,45
320,128,6000,0,1,12,,23
29,8000,32000,32,8,32,,220
300,192,768,6,6,24,,36
50,2620,10480,30,12,24,,32
92,2000,8000,32,1,6,,62
105,1000,4000,0,3,24,,32
38,8000,32000,64,8,24,,326
17,4000,16000,32,6,12,,133
180,2000,8000,8,1,6,,50
1100,512,1500,0,1,1,,7
124,1000,8000,0,1,8,,42
200,1000,2000,0,1,2,,25
23,32000,64000,128,32,64,,1144
140,2000,4000,8,1,20,,22
900,1000,1000,0,1,2,,11
250,512,4000,0,1,7,,25
29,8000,16000,32,8,16,,132
330,1000,2000,0,1,2,,16
112,1000,1000,0,1,4,,8
26,8000,16000,0,8,16,,185
320,512,2000,4,1,3,19.0,69
75,2000,16000,128,1,38,,259
26,8000,24000,32,8,16,,173
57,4000,24000,64,12,16,,237
48,4000,24000,32,8,24,,214
200,2000,8000,64,1,5,,41
140,2000,32000,32,1,54,,189
400,4000,8000,0,1,1,,32
160,2000,8000,32,1,13,,109
60,4000,16000,32,1,6,,86
60,2000,8000,65,1,8,,92
1100,768,2000,0,1,1,27.0,13
175,256,2000,0,3,24,,22
50,2000,32000,24,6,26,,114
200,512,16000,0,4,32,,35
50,2000,32000,112,52,104,,307
72,4000,16000,64,8,16,,143
50,1000,4000,8,1,5,,29
38,8000,24000,160,4,8,,140
56,2000,6000,0,1,8,,21
56,4000,12000,0,1,8,,42
50,2000,8000,8,1,5,,71
