MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,TEMPPER,TARGET
110,5000,5000,142,8,64,36.0,120
140,2000,4000,8,1,20,6.0,35
50,2620,10480,30,12,24,16.0,32
50,2000,16000,12,3,16,2.0,45
140,2000,32000,32,1,54,19.0,189
50,2000,8000,8,1,6,,56
105,256,2000,0,3,10,,26
220,1000,8000,16,1,2,9.0,71
300,768,12000,6,6,24,,50
56,4000,12000,0,1,8,,42
56,1000,4000,0,1,6,,17
60,4000,16000,64,5,8,,93
50,4000,16000,64,5,10,17.0,111
26,8000,16000,0,8,16,,185
50,2000,16000,24,1,6,,80
115,2000,4000,2,1,5,,40
125,256,6000,256,16,128,,198
84,1000,2000,0,1,6,,12
320,256,3000,4,1,3,,27
800,256,8000,0,1,4,,22
140,2000,4000,0,4,8,,40
240,512,2000,8,1,5,23.0,11
320,128,6000,0,1,12,,23
59,4000,12000,32,6,12,,113
26,8000,24000,32,8,16,,173
60,2000,16000,64,5,8,,74
700,256,2000,0,1,1,,24
160,1000,8000,16,1,14,,60
1100,768,2000,0,1,1,,13
133,1000,12000,9,3,12,,72
320,512,2000,4,1,3,-1.0,69
56,2000,8000,0,1,8,,24
110,1000,4000,16,1,2,,26
50,2000,16000,8,3,6,,52
900,1000,4000,4,1,2,29.0,18
600,768,2000,0,1,1,,16
56,4000,16000,0,1,8,,46
200,512,8000,8,1,8,,62
810,1000,5000,0,1,1,,20
800,256,8000,0,1,4,,20
23,16000,32000,64,16,32,,367
72,4000,16000,64,8,16,,143
70,4000,12000,8,6,8,,75
125,512,1000,0,8,20,,36
50,2000,16000,24,6,16,14.0,65
64,5240,20970,30,12,24,,208
225,2000,4000,8,3,6,,34
98,1000,8000,32,2,8,,46
100,1000,8000,24,2,6,,26
330,1000,2000,0,1,2,,16
38,4000,16000,128,16,32,,212
115,2000,8000,16,1,3,,50
50,1000,8000,8,3,5,,36
30,16000,32000,256,16,24,,510
480,512,8000,32,0,0,,67
57,4000,16000,1,6,12,,132
30,8000,64000,128,12,176,,1150
40,8000,32000,64,8,24,,277
115,512,6000,16,1,6,,45
38,8000,24000,160,4,8,,140
143,3100,6200,0,5,20,,33
200,1000,2000,0,1,2,,25
50,1000,4000,8,3,5,,26
400,2000,4000,0,1,1,,32
110,3100,6200,0,6,64,,76
56,5240,20970,30,12,24,,106
330,1000,3000,0,2,4,,16
26,16000,32000,64,8,24,,465
23,16000,32000,64,16,32,,489
50,8000,16000,48,1,10,,136
900,1000,4000,8,1,2,,22
56,4000,8000,0,1,8,,34
38,8000,32000,64,8,24,,326
143,512,5000,0,7,32,,28
250,512,4000,0,4,7,,50
75,2000,8000,64,1,38,,144
480,96,512,0,1,1,,6
900,512,1000,0,1,2,,11
180,512,4000,0,1,3,,14
92,2000,8000,4,1,6,,50
203,1000,2000,0,1,5,,24
50,2620,10480,30,12,24,,63
26,8000,32000,0,8,24,,277
25,2000,12000,8,1,4,,49
26,8000,32000,128,24,32,,405
240,512,1000,8,1,3,,6
200,2000,8000,64,1,5,,41
57,4000,24000,64,12,16,,237
800,256,8000,0,1,4,,14
180,262,4000,0,1,3,,12
400,4000,8000,0,1,1,,32
480,1000,4000,0,0,0,,45
25,1310,2620,131,12,24,,368
50,4000,16000,65,1,8,,138
160,512,4000,2,1,5,-4.0,30
320,512,5000,4,1,5,,77
110,1000,12000,16,1,2,,60
225,2000,4000,8,3,6,19.0,40
26,8000,32000,64,12,16,,248
300,768,3000,6,6,24,,44
100,1000,8000,24,3,6,,32
200,1000,8000,0,1,2,,36
105,2000,8000,16,4,14,,58
140,2000,4000,0,3,6,18.0,29
50,2000,16000,8,3,6,,60
56,2000,6000,0,1,8,,21
50,2000,32000,112,52,104,,307
25,2000,12000,16,3,5,,66
180,512,4000,0,1,3,,21
320,512,8000,4,1,5,,40
1500,768,1000,0,0,0,,12
160,1000,4000,8,1,14,,38
50,2000,16000,8,3,5,,40
50,500,2000,8,1,4,,20
140,2000,4000,8,1,20,,22
300,192,768,6,6,24,,36
200,1000,4000,0,1,4,,30
100,1000,8000,0,2,6,,16
300,1000,4000,8,3,64,29.0,38
25,1310,2620,131,12,24,,274
105,2000,6000,16,6,16,,33
105,2000,4000,8,3,8,,22
800,256,8000,0,1,4,,16
300,1000,16000,8,2,112,,38
50,2000,4000,0,3,6,,27
180,768,12000,6,1,31,,84
350,64,64,0,1,4,,10
250,512,4000,0,1,7,,25
400,1000,3000,0,1,2,,38
330,1000,4000,0,3,6,,22
143,2300,6200,0,6,64,,61
50,2000,8000,8,1,5,,71
300,768,4500,0,1,24,,45
180,2000,16000,16,1,6,27.0,66
38,16000,32000,128,16,32,,510
48,4000,24000,32,8,24,,214
29,8000,32000,32,8,32,,269
29,8000,32000,32,8,32,,220
200,512,16000,0,4,32,,35
160,2000,8000,32,1,13,,109
75,3000,8000,8,3,48,,64
29,8000,32000,32,8,32,,172
50,2000,16000,24,6,16,,54
800,768,2000,0,0,0,,20
180,2000,8000,8,1,6,,50
112,1000,1000,0,1,4,,8
72,2000,8000,16,6,8,,105
124,1000,8000,0,1,8,,42
60,2000,8000,65,1,8,,92
300,768,3000,0,6,24,,36
140,2000,32000,32,1,54,38.0,141
143,1500,6300,0,5,32,,30
60,4000,16000,32,1,6,,86
17,4000,16000,32,6,12,,133
23,16000,64000,64,16,32,,636
50,4000,32000,112,52,104,,397
320,256,5000,4,1,6,,27
50,2000,32000,48,26,52,,208
35,8000,32000,64,8,24,,370
160,512,2000,2,3,8,,32
38,4000,8000,32,16,32,,116
175,256,2000,0,3,24,,22
140,1000,16000,16,1,3,,138
125,2000,8000,0,2,14,,52
75,4000,16000,16,1,6,,66
180,262,4000,0,1,3,,18
225,1000,4000,2,3,6,,24
52,4000,16000,32,4,12,,130
250,1000,16000,1,1,8,,50
50,2000,16000,24,1,6,,70
700,384,8000,0,1,1,,24
90,256,1000,0,3,10,,17
320,256,6000,0,1,6,,33
50,2000,32000,24,6,26,,114
30,8000,64000,96,12,176,,915
75,2000,16000,64,1,38,20.0,144
1100,512,1500,0,1,1,,7
143,1000,2000,0,5,16,,31
105,2000,4000,8,3,19,,32
38,8000,16000,64,4,8,,100
133,1000,8000,9,3,12,,72
92,2000,8000,32,1,6,,60
900,2000,4000,0,3,6,,37
800,256,8000,0,1,4,,12
105,1000,4000,0,3,24,,32
40,8000,16000,32,8,16,,214
140,2000,8000,32,1,54,,66
26,16000,32000,64,16,24,,465
26,8000,32000,64,8,32,,318
185,2000,16000,16,1,6,,76
900,1000,1000,0,1,2,,11
116,2000,8000,32,5,28,,70
59,8000,16000,64,12,24,,188
38,4000,8000,32,16,32,11.0,51
1500,768,2000,0,0,0,,18
23,32000,64000,128,32,64,,1144
167,524,2000,8,4,15,,19
150,512,4000,0,8,128,,30
300,384,12000,6,1,24,,53
75,2000,8000,8,3,24,,62
50,2000,8000,8,3,6,,45
810,512,512,8,1,1,17.0,18
50,1000,4000,8,1,5,,29
92,2000,8000,32,1,6,,62
29,8000,16000,32,8,16,,132
