MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,TEMPPER,TARGET
800,256,8000,0,1,4,20.0,16
75,3000,8000,8,3,48,19.0,64
26,8000,24000,32,8,16,-4.0,173
300,1000,16000,8,2,112,34.0,38
900,512,1000,0,1,2,18.0,11
25,2000,12000,8,1,4,,49
26,8000,32000,0,8,24,,277
350,64,64,0,1,4,,10
92,2000,8000,4,1,6,,50
203,1000,2000,0,1,5,,24
160,512,2000,2,3,8,,32
700,256,2000,0,1,1,,24
56,4000,16000,0,1,8,,46
50,2000,16000,24,1,6,,80
400,1000,3000,0,1,2,,38
26,8000,32000,64,8,32,9.0,318
200,512,16000,0,4,32,,35
50,2000,8000,8,3,6,37.0,45
92,2000,8000,32,1,6,,60
92,2000,8000,32,1,6,,62
50,2000,16000,24,6,16,,65
26,8000,16000,0,8,16,,185
29,8000,32000,32,8,32,,220
105,2000,6000,16,6,16,,33
50,2000,32000,48,26,52,,208
70,4000,12000,8,6,8,,75
50,2000,16000,8,3,6,,60
300,192,768,6,6,24,,36
25,1310,2620,131,12,24,,274
30,8000,64000,96,12,176,,915
75,2000,16000,128,1,38,,259
125,2000,8000,0,2,14,,52
140,2000,32000,32,1,20,,134
110,1000,12000,16,1,2,28.0,60
330,1000,2000,0,1,2,,16
140,2000,4000,8,1,20,,35
320,128,6000,0,1,12,,23
400,2000,4000,0,1,1,,32
300,768,12000,6,6,24,,50
100,1000,8000,0,2,6,,16
105,256,2000,0,3,10,,26
810,512,512,8,1,1,,18
52,4000,16000,32,4,12,26.0,130
38,4000,16000,128,16,32,,212
320,256,5000,4,1,6,,27
26,8000,32000,128,24,32,,405
75,2000,8000,8,3,24,,62
60,4000,16000,32,1,6,,86
600,768,2000,0,1,1,,16
900,1000,4000,4,1,2,,18
110,5000,5000,142,8,64,6.0,120
64,5240,20970,30,12,24,,208
320,512,5000,4,1,5,,77
1500,768,1000,0,0,0,,12
125,256,6000,256,16,128,,198
143,512,5000,0,7,32,,28
250,512,4000,0,1,7,,25
50,1000,4000,8,3,5,,26
35,8000,32000,64,8,24,,370
300,384,12000,6,1,24,,53
50,2000,8000,8,1,6,35.0,56
75,4000,16000,16,1,6,,66
225,2000,4000,8,3,6,,34
300,768,4500,0,1,24,,45
115,2000,8000,16,1,3,,50
150,512,4000,0,8,128,,30
160,1000,4000,8,1,14,,38
