MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,TEMPPER,TARGET
38,4000,8000,32,16,32,20.0,51
38,8000,24000,160,4,8,27.0,140
110,1000,12000,16,1,2,26.0,60
56,1000,4000,0,1,6,14.0,17
35,8000,32000,64,8,24,10.0,370
50,4000,32000,112,52,104,,397
900,1000,4000,4,1,2,,18
300,768,3000,6,6,24,,44
60,4000,16000,32,1,6,,86
50,1000,4000,8,1,5,,29
180,512,4000,0,1,3,,14
50,2000,4000,0,3,6,,27
25,1310,2620,131,12,24,,368
92,2000,8000,32,1,6,,62
105,2000,8000,16,4,14,,58
143,2300,6200,0,6,64,,61
1100,512,1500,0,1,1,,7
38,4000,16000,128,16,32,,212
220,1000,8000,16,1,2,,71
50,2000,16000,8,3,6,,60
50,2620,10480,30,12,24,,63
57,4000,24000,64,12,16,,237
300,1000,4000,8,3,64,,38
250,512,4000,0,1,7,,25
56,5240,20970,30,12,24,,106
330,1000,4000,0,3,6,,22
100,1000,8000,24,3,6,,32
52,4000,16000,32,4,12,,130
300,384,12000,6,1,24,,53
140,2000,32000,32,1,54,,141
40,8000,16000,32,8,16,,214
320,256,3000,4,1,3,,27
56,4000,16000,0,1,8,,46
50,2000,16000,8,3,6,,52
300,1000,16000,8,2,112,,38
105,256,2000,0,3,10,,26
64,5240,20970,30,12,24,,208
40,8000,32000,64,8,24,,277
23,32000,64000,128,32,64,16.0,1144
200,512,8000,8,1,8,,62
480,1000,4000,0,0,0,,45
29,8000,32000,32,8,32,17.0,220
700,384,8000,0,1,1,,24
75,3000,8000,8,3,48,,64
60,2000,16000,64,5,8,,74
50,2000,16000,24,6,16,,54
125,2000,8000,0,2,14,11.0,52
800,256,8000,0,1,4,,14
350,64,64,0,1,4,37.0,10
143,3100,6200,0,5,20,,33
180,2000,8000,8,1,6,,50
75,2000,8000,64,1,38,,144
140,2000,4000,0,4,8,,40
175,256,2000,0,3,24,,22
70,4000,12000,8,6,8,,75
98,1000,8000,32,2,8,,46
50,2000,32000,24,6,26,,114
225,2000,4000,8,3,6,,34
160,1000,4000,8,1,14,,38
100,1000,8000,24,2,6,,26
800,256,8000,0,1,4,,16
26,8000,24000,32,8,16,,173
180,262,4000,0,1,3,,18
115,2000,4000,2,1,5,,40
320,512,2000,4,1,3,,69
125,256,6000,256,16,128,,198
57,4000,16000,1,6,12,,132
300,768,4500,0,1,24,,45
100,1000,8000,0,2,6,,16
105,1000,4000,0,3,24,,32
50,2000,16000,24,6,16,,65
72,4000,16000,64,8,16,,143
50,4000,16000,64,5,10,,111
48,4000,24000,32,8,24,,214
800,256,8000,0,1,4,,12
400,2000,4000,0,1,1,,32
185,2000,16000,16,1,6,36.0,76
330,1000,2000,0,1,2,,16
125,512,1000,0,8,20,,36
23,16000,32000,64,16,32,,367
110,1000,4000,16,1,2,,26
160,1000,8000,16,1,14,-5.0,60
105,2000,6000,16,6,16,,33
105,2000,4000,8,3,8,,22
250,1000,16000,1,1,8,,50
116,2000,8000,32,5,28,,70
75,2000,16000,128,1,38,,259
115,2000,8000,16,1,3,,50
23,16000,64000,64,16,32,,636
26,16000,32000,64,8,24,,465
26,8000,32000,64,12,16,8.0,248
143,512,5000,0,7,32,,28
26,16000,32000,64,16,24,,465
200,2000,8000,64,1,5,,41
143,1000,2000,0,5,16,,31
75,4000,16000,16,1,6,,66
105,2000,4000,8,3,19,37.0,32
90,256,1000,0,3,10,,17
167,524,2000,8,4,15,,19
250,512,4000,0,4,7,5.0,50
203,1000,2000,0,1,5,,24
60,4000,16000,64,5,8,,93
50,2620,10480,30,12,24,,32
800,256,8000,0,1,4,,22
17,4000,16000,32,6,12,,133
23,16000,32000,64,16,32,,489
400,4000,8000,0,1,1,,32
900,512,1000,0,1,2,,11
112,1000,1000,0,1,4,,8
38,4000,8000,32,16,32,,116
160,512,2000,2,3,8,,32
330,1000,3000,0,2,4,,16
115,512,6000,16,1,6,36.0,45
17,4000,16000,8,6,12,,100
1500,768,1000,0,0,0,,12
180,768,12000,6,1,31,,84
50,2000,8000,8,1,6,23.0,56
38,8000,16000,64,4,8,,100
38,8000,32000,64,8,24,,326
30,16000,32000,256,16,24,,510
140,2000,32000,32,1,54,,189
200,512,16000,0,4,32,,35
225,1000,4000,2,3,6,,24
50,2000,8000,8,3,6,,45
1100,768,2000,0,1,1,,13
50,2000,16000,12,3,16,,45
50,1000,4000,8,3,5,,26
50,2000,32000,112,52,104,,307
92,2000,8000,32,1,6,,60
225,2000,4000,8,3,6,,40
50,4000,16000,65,1,8,,138
75,2000,16000,64,1,38,,144
140,2000,8000,32,1,54,,66
320,128,6000,0,1,12,22.0,23
600,768,2000,0,1,1,,16
133,1000,8000,9,3,12,8.0,72
320,512,5000,4,1,5,,77
800,768,2000,0,0,0,3.0,20
900,2000,4000,0,3,6,,37
25,1310,2620,131,12,24,,274
140,2000,4000,8,1,20,,22
320,256,5000,4,1,6,,27
200,1000,2000,0,1,2,,25
400,512,3500,4,1,6,,40
150,512,4000,0,8,128,,30
29,8000,32000,32,8,32,,269
50,8000,16000,48,1,10,,136
143,1500,6300,0,5,32,,30
92,2000,8000,4,1,6,,50
56,2000,8000,0,1,8,,24
300,768,12000,6,6,24,,50
320,256,6000,0,1,6,,33
180,2000,16000,16,1,6,,66
160,512,4000,2,1,5,,30
56,4000,12000,0,1,8,,42
240,512,1000,8,1,3,,6
110,5000,5000,142,8,64,,120
30,8000,64000,96,12,176,,915
110,3100,6200,0,6,64,28.0,76
50,2000,32000,48,26,52,8.0,208
133,1000,12000,9,3,12,,72
900,1000,1000,0,1,2,,11
240,512,2000,8,1,5,,11
