MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,TEMPPER,TARGET
160,2000,8000,32,1,13,26.0,109
17,4000,16000,8,6,12,9.0,100
38,4000,16000,128,16,32,21.0,212
29,8000,16000,32,8,16,37.0,132
160,512,2000,2,3,8,22.0,32
26,8000,32000,0,8,24,,277
75,3000,8000,8,3,48,,64
180,768,12000,6,1,31,,84
320,256,6000,0,1,6,,33
400,1000,3000,0,1,2,,38
23,16000,32000,64,16,32,,367
160,512,4000,2,1,5,,30
1500,768,1000,0,0,0,,12
700,384,8000,0,1,1,,24
50,2000,16000,24,1,6,,80
300,192,768,6,6,24,,36
38,8000,24000,160,4,8,,140
29,8000,32000,32,8,32,,172
150,512,4000,0,8,128,,30
250,1000,16000,1,1,8,,50
38,4000,8000,32,16,32,,51
320,512,5000,4,1,5,,77
105,2000,4000,8,3,19,,32
160,1000,4000,8,1,14,,38
30,8000,64000,128,12,176,,1150
110,1000,12000,16,1,2,,60
320,128,6000,0,1,12,,23
26,8000,32000,64,12,16,,248
330,1000,4000,0,3,6,,22
900,1000,4000,8,1,2,,22
64,5240,20970,30,12,24,,208
250,512,4000,0,4,7,26.0,50
110,3100,6200,0,6,64,,76
23,16000,64000,64,16,32,,636
800,256,8000,0,1,4,,20
1100,768,2000,0,1,1,,13
100,1000,8000,24,3,6,,32
140,1000,16000,16,1,3,,138
700,256,2000,0,1,1,,24
72,4000,16000,64,8,16,,143
35,8000,32000,64,8,24,,370
160,1000,8000,16,1,14,,60
29,8000,32000,32,8,32,,220
116,2000,8000,32,5,28,,70
320,256,3000,4,1,3,,27
50,2000,16000,8,3,6,,52
25,2000,12000,16,3,5,,66
125,256,6000,256,16,128,,198
810,1000,5000,0,1,1,,20
90,256,1000,0,3,10,,17
100,1000,8000,24,2,6,,26
350,64,64,0,1,4,,10
200,2000,8000,64,1,5,,41
92,2000,8000,4,1,6,,50
50,2000,16000,24,6,16,,54
300,768,4500,0,1,24,,45
70,4000,12000,8,6,8,,75
300,1000,4000,8,3,64,,38
75,2000,8000,8,3,24,,62
38,8000,16000,64,4,8,,100
800,256,8000,0,1,4,,22
52,4000,16000,32,4,12,,130
900,1000,4000,4,1,2,,18
800,256,8000,0,1,4,,12
105,2000,8000,16,4,14,,58
300,1000,16000,8,2,112,,38
800,256,8000,0,1,4,,16
600,768,2000,0,1,1,,16
40,8000,16000,32,8,16,,214
50,4000,16000,64,5,10,,111
200,1000,2000,0,1,2,,25
75,4000,16000,16,1,6,,66
133,1000,8000,9,3,12,,72
220,1000,8000,16,1,2,,71
330,1000,3000,0,2,4,,16
200,512,8000,8,1,8,,62
26,8000,32000,64,8,32,,318
30,8000,64000,96,12,176,,915
50,2620,10480,30,12,24,,32
56,4000,16000,0,1,8,,46
48,4000,24000,32,8,24,,214
140,2000,32000,32,1,54,,141
143,1000,2000,0,5,16,,31
60,4000,16000,64,5,8,,93
143,3100,6200,0,5,20,,33
26,16000,32000,64,8,24,,465
30,16000,32000,256,16,24,,510
115,2000,4000,2,1,5,,40
60,2000,16000,64,5,8,,74
143,2300,6200,0,6,64,,61
38,16000,32000,128,16,32,,510
50,4000,16000,65,1,8,,138
810,512,512,8,1,1,,18
140,2000,8000,32,1,54,,66
105,256,2000,0,3,10,,26
175,256,2000,0,3,24,,22
110,1000,4000,16,1,2,,26
180,262,4000,0,1,3,,12
50,1000,8000,8,3,5,,36
59,4000,12000,32,6,12,,113
112,1000,1000,0,1,4,,8
38,8000,32000,64,8,24,,326
300,768,12000,6,6,24,,50
50,2000,4000,0,3,6,,27
26,16000,32000,64,16,24,,465
124,1000,8000,0,1,8,,42
50,1000,4000,8,1,5,33.0,29
180,2000,8000,8,1,6,,50
57,4000,16000,1,6,12,,132
60,2000,8000,65,1,8,,92
225,2000,4000,8,3,6,,34
84,1000,2000,0,1,6,,12
125,2000,8000,0,2,14,24.0,52
40,8000,32000,64,8,24,,277
133,1000,12000,9,3,12,,72
50,2000,16000,8,3,5,,40
17,4000,16000,32,6,12,,133
143,1500,6300,0,5,32,,30
75,2000,8000,64,1,38,,144
167,524,2000,8,4,15,,19
50,2000,16000,24,6,16,,65
50,2000,32000,24,6,26,37.0,114
50,2000,8000,8,1,5,,71
800,768,2000,0,0,0,,20
60,4000,16000,32,1,6,,86
200,1000,8000,0,1,2,,36
480,512,8000,32,0,0,,67
180,512,4000,0,1,3,,14
400,2000,4000,0,1,1,,32
105,2000,4000,8,3,8,,22
140,2000,4000,8,1,20,,22
480,96,512,0,1,1,,6
56,2000,8000,0,1,8,34.0,24
105,1000,4000,0,3,24,,32
50,2000,8000,8,1,6,,56
320,256,5000,4,1,6,,27
25,1310,2620,131,12,24,,274
185,2000,16000,16,1,6,,76
72,2000,8000,16,6,8,,105
25,2000,12000,8,1,4,,49
56,2000,6000,0,1,8,,21
180,2000,16000,16,1,6,,66
75,2000,16000,128,1,38,,259
50,2620,10480,30,12,24,,63
140,2000,4000,8,1,20,,35
140,2000,32000,32,1,54,,189
140,2000,4000,0,3,6,,29
800,256,8000,0,1,4,,14
50,1000,4000,8,3,5,,26
98,1000,8000,32,2,8,35.0,46
140,2000,4000,0,4,8,,40
59,8000,16000,64,12,24,,188
92,2000,8000,32,1,6,,62
300,768,3000,0,6,24,,36
125,512,1000,0,8,20,,36
225,1000,4000,2,3,6,,24
50,2000,16000,8,3,6,,60
480,1000,4000,0,0,0,,45
240,512,1000,8,1,3,34.0,6
38,4000,8000,32,16,32,,116
50,2000,8000,8,3,6,12.0,45
110,5000,5000,142,8,64,34.0,120
50,2000,16000,12,3,16,,45
25,1310,2620,131,12,24,,368
56,4000,8000,0,1,8,28.0,34
50,2000,32000,112,52,104,,307
